Annotation,Begin_end,M003,M002,M007,M004,M005,M018,M019,M015,M016,M020,M017,M009,M013,M031,M021,M012,M014,M008,M006,M030,M010,M026,M022,M028,M027,M029,M023,M025,M001,M024,M011,D001,D002,c,ENTERHOME,Duration,Start_Date,End_Date,Start_Time,End_Time,season,weekday,preact,nextact,shift_1
Relax,,,,,,,,,,,2,,13,4,,,,,,,,,,,,,,,,,,,,,,,5,21-12-2010,21-12-2010,16:51:23,16:56:06,winter,Tuesday,Meal_Preparation,Meal_Preparation,Late afternoon
Meal_Preparation,,,,,,,15,38,28,,,12,,,,,,,,,,,,,,,,,,,,,,,,,4,21-12-2010,21-12-2010,16:56:16,17:00:45,winter,Tuesday,Relax,Relax,Late afternoon
Relax,,,,,,,,,,,1,,9,1,,,,,,,,,,,,,,,,,,,,,,,6,21-12-2010,21-12-2010,17:00:57,17:06:44,winter,Tuesday,Meal_Preparation,Meal_Preparation,Late afternoon
Meal_Preparation,,,,,,,3,10,4,4,,2,,,,,,1,,,,,,,,,,,,,,,,,,,1,21-12-2010,21-12-2010,17:06:47,17:07:48,winter,Tuesday,Relax,Relax,Late afternoon
Relax,,,,,,,,,,,4,,7,1,,,,,,,,,,,,,,,,,,,,,,,7,21-12-2010,21-12-2010,17:08:25,17:15:05,winter,Tuesday,Meal_Preparation,Meal_Preparation,Late afternoon
Meal_Preparation,,,,,,,7,16,6,6,6,8,,,,,,10,,,,,,,,,,,,,,,,,,,2,21-12-2010,21-12-2010,17:15:34,17:17:40,winter,Tuesday,Relax,Relax,Late afternoon
Relax,,,,,,,,,,,2,,15,2,,,,,,,,,,,,,,,,,,,,,,,29,21-12-2010,21-12-2010,17:19:56,17:48:55,winter,Tuesday,Meal_Preparation,Meal_Preparation,Late afternoon
Meal_Preparation,,,,,,,13,24,14,2,,16,,,,,,,,,,,,,,,,,,,,,,,,,3,21-12-2010,21-12-2010,17:48:59,17:52:23,winter,Tuesday,Relax,Relax,Late afternoon
Relax,,,,,,,,,,,2,,63,6,,,,1,,,,,,,,,,,,,,,,,,,26,21-12-2010,21-12-2010,17:52:34,18:19:04,winter,Tuesday,Meal_Preparation,Meal_Preparation,Evening
Meal_Preparation,,,,,,,9,22,12,,10,4,1,2,,,,9,,,,,,,,,,,,,,,,,,,3,21-12-2010,21-12-2010,18:19:04,18:22:03,winter,Tuesday,Relax,Meal_Preparation,Evening
Meal_Preparation,,,,,,,7,58,26,12,5,4,,,,,,6,,,,,,,,,,,,,,,,,,,8,21-12-2010,21-12-2010,18:25:14,18:32:57,winter,Tuesday,Meal_Preparation,Relax,Evening
Relax,,,,,,,,,,,4,,41,13,,,,,,,,,,,,,,,,,,,,,,,49,21-12-2010,21-12-2010,18:33:40,19:22:41,winter,Tuesday,Meal_Preparation,Relax,Evening
Relax,,,,,,,,,,,2,,17,4,,,,,,,,,,,,,,,,,,,,,,,10,21-12-2010,21-12-2010,19:24:17,19:34:46,winter,Tuesday,Relax,Relax,Evening
Relax,,,,,,,,,,,5,,41,5,,,,1,,,,,,,,,,,,,,,,,,,46,21-12-2010,21-12-2010,19:36:35,20:22:52,winter,Tuesday,Relax,Relax,Evening
Relax,,,,,,,,,,,2,,37,9,,,,,,,,2,,,,,,,,,,,,,,,9,21-12-2010,21-12-2010,20:23:43,20:32:27,winter,Tuesday,Relax,Relax,Night
Relax,,,,,,,,,,,10,,85,18,,,,,,,,,,,,,,,,,,,,,,,51,21-12-2010,21-12-2010,20:38:38,21:29:47,winter,Tuesday,Relax,Relax,Night
Relax,,,,,,,,,,,12,,67,21,,,2,,,,,4,,,,,,,,,,,,,,,65,21-12-2010,21-12-2010,21:41:50,22:46:57,winter,Tuesday,Relax,Relax,Late Night
Relax,,,,,,,,,,,14,,59,13,,,2,,,,,4,,,,,,,,,,,,,,,75,21-12-2010,22-12-2010,22:50:47,00:05:32,winter,Tuesday,Relax,Sleeping,Late Night
Sleeping,,27,4,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42,22-12-2010,22-12-2010,00:11:50,00:54:14,winter,Wednesday,Relax,Bed_to_Toilet, Morning
Bed_to_Toilet,,,,4,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,22-12-2010,22-12-2010,00:54:21,00:55:07,winter,Wednesday,Sleeping,Sleeping, Morning
Sleeping,,23,4,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,312,22-12-2010,22-12-2010,00:55:49,06:07:40,winter,Wednesday,Bed_to_Toilet,Bed_to_Toilet,early Morning
Bed_to_Toilet,,,,2,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,22-12-2010,22-12-2010,06:07:46,06:11:18,winter,Wednesday,Sleeping,Sleeping,early Morning
Sleeping,,83,12,6,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,152,22-12-2010,22-12-2010,06:11:23,08:43:35,winter,Wednesday,Bed_to_Toilet,Meal_Preparation,early Morning
Meal_Preparation,,,,,,,7,86,58,12,,4,,,,,,1,,,,,,,,,,,,,,,,,,,9,22-12-2010,22-12-2010,09:00:27,09:09:32,winter,Wednesday,Sleeping,Meal_Preparation, Morning
Meal_Preparation,,,,,,,7,26,14,4,1,4,,,,,,3,,,,,,,,,,,,,,,,,,,2,22-12-2010,22-12-2010,09:14:19,09:16:27,winter,Wednesday,Meal_Preparation,Relax, Morning
Relax,,,,,,,,,,,2,,47,2,,,,,,,,,,,,,,,,,,,,,,,7,22-12-2010,22-12-2010,09:17:45,09:24:55,winter,Wednesday,Meal_Preparation,Relax, Morning
Relax,,,,,,,,,,,2,,153,2,,,,1,,,,,,,,,,,,,,,,,,,32,22-12-2010,22-12-2010,09:25:56,09:57:37,winter,Wednesday,Relax,Relax, Morning
Relax,,,,,,,,,,,4,,49,8,,,,,,,,,,,,,,,,,,,,,,,23,22-12-2010,22-12-2010,09:59:58,10:22:36,winter,Wednesday,Relax,Leave_Home, late Morning
Leave_Home,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,,0,22-12-2010,22-12-2010,10:57:29,10:57:34,winter,Wednesday,Relax,Enter_Home, late Morning
Enter_Home,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,0,22-12-2010,22-12-2010,13:55:07,13:55:11,winter,Wednesday,Leave_Home,Relax,Noon
Relax,,,,,,,,,,,22,,101,12,,,,,,,,,,,,,,,,,,,,,,,10,22-12-2010,22-12-2010,14:02:30,14:12:02,winter,Wednesday,Enter_Home,Relax,afternoon
Relax,,,,,,,,,,,14,,121,12,,,4,,,,,,,,,,,,,,,,,,,,19,22-12-2010,22-12-2010,14:23:01,14:41:41,winter,Wednesday,Relax,Leave_Home,afternoon
Leave_Home,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,,0,22-12-2010,22-12-2010,14:45:46,14:45:50,winter,Wednesday,Relax,Enter_Home,afternoon
Enter_Home,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,0,22-12-2010,22-12-2010,15:06:12,15:06:16,winter,Wednesday,Leave_Home,Relax,afternoon
Relax,,,,,,,,,,,10,,61,2,,,,,,,,,,,,,,,,,,,,,,,8,22-12-2010,22-12-2010,15:31:29,15:39:08,winter,Wednesday,Enter_Home,Meal_Preparation,afternoon
Meal_Preparation,,,,,,,67,119,72,12,,26,,,,,,7,,,,,,,,,,,,,,,,,,,18,22-12-2010,22-12-2010,15:41:58,16:00:03,winter,Wednesday,Relax,Meal_Preparation,afternoon
Meal_Preparation,,,,,,,31,174,136,14,,18,,,,,,1,,,,,,,,,,,,,,,,,,,19,22-12-2010,22-12-2010,16:06:18,16:25:45,winter,Wednesday,Meal_Preparation,Meal_Preparation,Late afternoon
Meal_Preparation,,,,,,,55,240,159,36,18,56,2,4,,4,6,11,,,,2,,,,,,,,,,,,,,,27,22-12-2010,22-12-2010,16:33:44,17:00:42,winter,Wednesday,Meal_Preparation,Relax,Late afternoon
Relax,,,,,,,,,,,4,,45,9,,,,,,,,,,,,,,,,,,,,,,,37,22-12-2010,22-12-2010,17:00:58,17:38:13,winter,Wednesday,Meal_Preparation,Relax,Late afternoon
Relax,,,,,,,,,,,2,,19,12,,,,,,,,,,,,,,,,,,,,,,,10,22-12-2010,22-12-2010,17:39:59,17:50:27,winter,Wednesday,Relax,Relax,Late afternoon
Relax,,,,,,,,,,,,,55,2,,,,,,,,2,,,,,,,,,,,,,,,32,22-12-2010,22-12-2010,17:53:32,18:25:54,winter,Wednesday,Relax,Relax,Evening
Relax,,,,,,,,,,,15,,37,14,,,,,,,,,,,,,,,,,,,,,,,14,22-12-2010,22-12-2010,18:32:06,18:46:20,winter,Wednesday,Relax,Relax,Evening
Relax,,,,,,,,,,,2,,33,8,,,,,,,,,,,,,,,,,,,,,,,4,22-12-2010,22-12-2010,18:47:27,18:51:48,winter,Wednesday,Relax,Relax,Evening
Relax,,,,,,,,,,,4,,49,2,,,,,,,,,,,,,,,,,,,,,,,10,22-12-2010,22-12-2010,18:55:16,19:05:27,winter,Wednesday,Relax,Relax,Evening
Relax,,,,,,,1,,,,4,,27,3,,,,1,,,,,,,,,,,,,,,,,,,11,22-12-2010,22-12-2010,19:07:10,19:17:42,winter,Wednesday,Relax,Relax,Evening
Relax,,,,,,,,,,,2,,35,4,,,,,,,,,,,,,,,,,,,,,,,10,22-12-2010,22-12-2010,19:18:24,19:28:04,winter,Wednesday,Relax,Relax,Evening
Relax,,,,,,,,,,,2,,13,2,,,,,,,,,,,,,,,,,,,,,,,11,22-12-2010,22-12-2010,19:34:44,19:45:56,winter,Wednesday,Relax,Relax,Evening
Relax,,,,,,,,,,,1,,83,10,,,,,,,,,,,,,,,,,,,,,,,46,22-12-2010,22-12-2010,19:56:45,20:42:21,winter,Wednesday,Relax,Relax,Night
Relax,,,,,,,,,,,16,,51,19,,,2,,,,,2,,,,,,,,,,,,,,,12,22-12-2010,22-12-2010,20:44:19,20:56:48,winter,Wednesday,Relax,Relax,Night
Relax,,,,,,,,,,,2,,19,4,,,,,,,,,,,,,,,,,,,,,,,10,22-12-2010,22-12-2010,21:03:51,21:14:02,winter,Wednesday,Relax,Relax,Night
Relax,,,,,,,,,,,1,,73,3,,,,,,,,,,,,,,,,,,,,,,,41,22-12-2010,22-12-2010,21:31:57,22:13:17,winter,Wednesday,Relax,Relax,Night
Relax,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,6,22-12-2010,22-12-2010,22:14:12,22:20:37,winter,Wednesday,Relax,Relax,Late Night
Relax,,,,,,,,,,,1,,13,5,,,4,,,,,2,,,,,,,,,,,,,,,4,22-12-2010,22-12-2010,22:23:49,22:27:59,winter,Wednesday,Relax,Relax,Late Night
Relax,,,,,,,,,,,14,,31,16,,,6,,,,,2,,,,,,,,,,,,,,,36,22-12-2010,22-12-2010,22:29:46,23:05:17,winter,Wednesday,Relax,Relax,Late Night
Relax,,,,,,,,,,,8,,21,8,,,,,,,,2,,,,,,,,,,,,,,,6,22-12-2010,22-12-2010,23:19:14,23:24:56,winter,Wednesday,Relax,Relax,Late Night
Relax,,,,,,,,,,,6,,89,4,,,,,,,,,,,,,,,,,,,,,,,37,22-12-2010,23-12-2010,23:26:18,00:03:03,winter,Wednesday,Relax,Sleeping,Late Night
Sleeping,,27,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,23-12-2010,23-12-2010,00:03:39,00:31:11,winter,Thursday,Relax,Bed_to_Toilet, Morning
Bed_to_Toilet,,,,2,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,23-12-2010,23-12-2010,00:31:17,00:32:53,winter,Thursday,Sleeping,Bed_to_Toilet, Morning
Bed_to_Toilet,,,,2,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,23-12-2010,23-12-2010,00:33:21,00:34:16,winter,Thursday,Bed_to_Toilet,Sleeping, Morning
Sleeping,,19,10,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,275,23-12-2010,23-12-2010,00:34:49,05:09:59,winter,Thursday,Bed_to_Toilet,Bed_to_Toilet, Morning
Bed_to_Toilet,,,,2,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,23-12-2010,23-12-2010,05:10:07,05:12:47,winter,Thursday,Sleeping,Sleeping, Morning
Sleeping,,21,8,2,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,104,23-12-2010,23-12-2010,05:13:04,06:56:58,winter,Thursday,Bed_to_Toilet,Meal_Preparation,early Morning
Meal_Preparation,,,,,,,11,108,50,10,1,60,,,,,,2,,,,,,,,,,,,,,,,,,,13,23-12-2010,23-12-2010,07:02:22,07:15:27,winter,Thursday,Sleeping,Relax,early Morning
Relax,,,,,,,,,,,2,,53,2,,,1,,,,,,,,,,,,,,,,,,,,15,23-12-2010,23-12-2010,07:15:54,07:31:09,winter,Thursday,Meal_Preparation,Leave_Home,early Morning
Leave_Home,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,0,23-12-2010,23-12-2010,08:49:42,08:49:45,winter,Thursday,Relax,Enter_Home, Morning
Enter_Home,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,,,,,,,0,23-12-2010,23-12-2010,11:10:23,11:10:27,winter,Thursday,Leave_Home,Meal_Preparation, late Morning
Meal_Preparation,,,,,,,25,98,96,10,5,26,,,,8,,16,,,,,,13,,,,6,,,14,,,,,,11,23-12-2010,23-12-2010,11:16:49,11:27:24,winter,Thursday,Enter_Home,Meal_Preparation, late Morning
Meal_Preparation,,,,,,,51,92,46,28,1,10,,,,8,,33,,,,,,12,,,,10,,,52,,,,,,13,23-12-2010,23-12-2010,11:30:04,11:43:24,winter,Thursday,Meal_Preparation,Meal_Preparation, late Morning
Meal_Preparation,,,,,,,29,44,9,22,1,14,,1,,4,,6,,,,,,14,,,,17,,,12,,,,,,6,23-12-2010,23-12-2010,12:04:34,12:10:04,winter,Thursday,Meal_Preparation,Relax,Noon
Relax,,,,,,,,,,,4,,73,4,,,,,,,,,17,,12,5,8,2,2,,2,,,,,,17,23-12-2010,23-12-2010,12:11:08,12:27:46,winter,Thursday,Meal_Preparation,Leave_Home,Noon
Leave_Home,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,0,23-12-2010,23-12-2010,14:31:18,14:31:21,winter,Thursday,Relax,Enter_Home,afternoon
Enter_Home,,,,,,,,,,,,,,,,1,,,,,3,,,2,,,2,,,,,,,,,,0,23-12-2010,23-12-2010,15:32:47,15:33:00,winter,Thursday,Leave_Home,Meal_Preparation,afternoon
Meal_Preparation,,,,,,,33,82,42,12,2,30,,,,18,,14,,,,,,22,,,,18,,,41,,,,,,12,23-12-2010,23-12-2010,15:36:33,15:48:39,winter,Thursday,Enter_Home,Relax,afternoon
Relax,,,,,,,,,,,,,77,,,,,,,,,,,,,,,,,,72,,,,,,19,23-12-2010,23-12-2010,15:50:30,16:09:18,winter,Thursday,Meal_Preparation,Relax,Late afternoon
Relax,,,,,,,,,,,1,,13,,,,,,,,,1,,,,,,,,,2,,,,,,6,23-12-2010,23-12-2010,16:49:28,16:55:22,winter,Thursday,Relax,Meal_Preparation,Late afternoon
Meal_Preparation,,,,,,,41,103,58,25,18,2,6,15,,7,,2,,,,10,4,9,4,8,,4,,,16,3,1,2,,,8,23-12-2010,23-12-2010,17:13:00,17:21:00,winter,Thursday,Relax,Relax,Late afternoon
Relax,,,,,,,,,,,2,,35,4,,,,,,,,,,,,,,,,,,,,,,,30,23-12-2010,23-12-2010,18:25:53,18:56:18,winter,Thursday,Meal_Preparation,Meal_Preparation,Evening
Meal_Preparation,,,,,,,11,96,88,26,,20,,,,1,,1,,,,,,,,,,,,,,,,,,,9,23-12-2010,23-12-2010,18:57:42,19:06:26,winter,Thursday,Relax,Relax,Evening
Relax,,,,,,,,,,,1,,7,2,,,1,,,,,,,,,,,,,,,,,,,,5,23-12-2010,23-12-2010,19:16:42,19:22:08,winter,Thursday,Meal_Preparation,Relax,Evening
Relax,,,,,,,,,,,8,,15,6,,,,,,,,,,,,,,,,,,,,,,,6,23-12-2010,23-12-2010,19:23:06,19:29:14,winter,Thursday,Relax,Relax,Evening
Relax,,,,,,,,,,,1,,19,,,,,,,,,2,,,,,,,,,,,,,,,44,23-12-2010,23-12-2010,19:32:04,20:15:59,winter,Thursday,Relax,Relax,Evening
Relax,,,,,,,,,,,5,,365,7,,,2,,,,,2,,,,,,,,,,,,,,,111,23-12-2010,23-12-2010,20:24:07,22:15:04,winter,Thursday,Relax,Relax,Night
Relax,,,,,,,,,,,,,31,1,,,,,,,,2,,,,,,,,,,,,,,,9,23-12-2010,23-12-2010,22:18:34,22:27:06,winter,Thursday,Relax,Sleeping,Late Night
Sleeping,,103,18,13,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,284,23-12-2010,24-12-2010,22:38:09,03:22:28,winter,Thursday,Relax,Bed_to_Toilet,Late Night
Bed_to_Toilet,,,,2,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,24-12-2010,24-12-2010,03:22:37,03:25:13,winter,Friday,Sleeping,Sleeping, Morning
Sleeping,,61,10,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,194,24-12-2010,24-12-2010,03:25:20,06:38:51,winter,Friday,Bed_to_Toilet,Meal_Preparation,early Morning
Meal_Preparation,,,,,,,7,62,32,10,,12,,,,,,,,,,,,,,,,,,,,,,,,,7,24-12-2010,24-12-2010,06:39:51,06:46:23,winter,Friday,Sleeping,Meal_Preparation,early Morning
Meal_Preparation,,,,,,,7,24,18,16,1,,,,,1,,,,,,,,,,,,,,,,,,,,,3,24-12-2010,24-12-2010,06:49:23,06:52:11,winter,Friday,Meal_Preparation,Meal_Preparation,early Morning
Meal_Preparation,,,,,,,11,36,20,4,1,8,,,,1,,,,,,,,,,,,,,,,,,,,,3,24-12-2010,24-12-2010,06:55:42,06:58:58,winter,Friday,Meal_Preparation,Relax,early Morning
Relax,,,,,,,,,,,8,,41,4,,,,,,,,,,,,,,,,,,,,,,,15,24-12-2010,24-12-2010,06:59:12,07:14:34,winter,Friday,Meal_Preparation,Leave_Home,early Morning
Leave_Home,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,0,24-12-2010,24-12-2010,08:14:27,08:14:30,winter,Friday,Relax,Enter_Home, Morning
Enter_Home,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,24-12-2010,24-12-2010,11:59:09,11:59:14,winter,Friday,Leave_Home,Meal_Preparation, late Morning
Meal_Preparation,,,,,,,185,656,534,100,54,226,,2,,5,,30,,,,,,2,,,,,,,,,,,,,86,24-12-2010,24-12-2010,12:03:51,13:29:29,winter,Friday,Enter_Home,Relax,Noon
Relax,,,,,,,,,,,2,,67,2,,,,,,,,,,,,,,,,,,,,,,,7,24-12-2010,24-12-2010,13:29:37,13:36:28,winter,Friday,Meal_Preparation,Relax,Noon
Relax,,,,,,,,,,,2,,13,4,,,,,,,,,,,,,,,,,,,,,,,5,24-12-2010,24-12-2010,13:36:48,13:41:37,winter,Friday,Relax,Relax,Noon
Relax,,,,,,,,,,,6,,31,6,,,,,,,,,,,,,,,,,,,,,,,8,24-12-2010,24-12-2010,13:41:55,13:50:19,winter,Friday,Relax,Meal_Preparation,Noon
Meal_Preparation,,,,,,,13,28,22,,9,1,,,,,,9,,,,,,,,,,,,,,,,,,,6,24-12-2010,24-12-2010,13:51:36,13:58:03,winter,Friday,Relax,Meal_Preparation,Noon
Meal_Preparation,,,,4,4,4,125,336,306,34,17,92,,4,,7,,8,7,4,,,,,,,,,,,,,,,,,48,24-12-2010,24-12-2010,14:01:31,14:50:01,winter,Friday,Meal_Preparation,Relax,afternoon
Relax,,,,,,,,,,,10,,51,2,,,,1,,,,,,,,,,,,,,,,,,,5,24-12-2010,24-12-2010,14:52:52,14:57:35,winter,Friday,Meal_Preparation,Relax,afternoon
Relax,,,,,,,,1,,,6,,57,2,,,,,,,,,,,,,,,,,,,,,,,6,24-12-2010,24-12-2010,14:58:47,15:04:40,winter,Friday,Relax,Meal_Preparation,afternoon
Meal_Preparation,,,,,,,17,76,60,4,4,10,,1,,4,,,,,,,,4,,,,,,,,,,,,,9,24-12-2010,24-12-2010,15:04:42,15:13:26,winter,Friday,Relax,Work,afternoon
Work,,,,,,,,,,,,,,,,,,,,,,,37,2,2,24,,,,,,,,,,,23,24-12-2010,24-12-2010,15:42:26,16:05:13,winter,Friday,Meal_Preparation,Meal_Preparation,afternoon
Meal_Preparation,,,,,,,15,38,12,12,8,8,,4,,2,,10,,,,,,,,,,,,,,,,,,,5,24-12-2010,24-12-2010,16:49:28,16:54:52,winter,Friday,Work,Leave_Home,Late afternoon
Leave_Home,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,,0,24-12-2010,24-12-2010,17:13:30,17:13:36,winter,Friday,Meal_Preparation,Enter_Home,Late afternoon
Enter_Home,,,,,,,,,,,,,,,,,,,,,1,,,,,,2,,,,,,,,,,0,24-12-2010,24-12-2010,23:07:31,23:07:39,winter,Friday,Leave_Home,Relax,Late Night
Relax,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,5,24-12-2010,24-12-2010,23:25:57,23:31:12,winter,Friday,Enter_Home,Sleeping,Late Night
Sleeping,,59,12,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,376,24-12-2010,25-12-2010,23:41:14,05:57:25,winter,Friday,Relax,Meal_Preparation,Late Night
Meal_Preparation,,,,,,,3,26,16,6,1,,,,,2,,,1,,,,,,,,,,,,,,,,,,3,25-12-2010,25-12-2010,06:04:25,06:07:08,winter,Saturday,Sleeping,Meal_Preparation,early Morning
Meal_Preparation,,,,,,,7,18,8,2,1,6,,,,1,,1,,,,,,,,,,,,,,,,,,,2,25-12-2010,25-12-2010,06:16:40,06:18:19,winter,Saturday,Meal_Preparation,Leave_Home,early Morning
Leave_Home,,,,,,,,,,,,,,,,,,,,,3,,,,,,1,,,,,,,,,,0,25-12-2010,25-12-2010,06:48:57,06:49:27,winter,Saturday,Meal_Preparation,Enter_Home,early Morning
Enter_Home,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,0,25-12-2010,25-12-2010,09:37:59,09:38:02,winter,Saturday,Leave_Home,Relax, Morning
Relax,,,,,,,,,,,1,,7,6,,,,,,,,,,,,,,,,,,,,,,,3,25-12-2010,25-12-2010,09:38:40,09:41:24,winter,Saturday,Enter_Home,Relax, Morning
Relax,,,,,,,,,,,9,,51,11,,,,2,,,,,,,,,,,,,,,,,,,19,25-12-2010,25-12-2010,09:43:29,10:02:13,winter,Saturday,Relax,Meal_Preparation, Morning
Meal_Preparation,,,,,,,103,342,272,52,2,98,,,,1,,11,1,,,,,,,,,,,,,,,,,,40,25-12-2010,25-12-2010,10:14:10,10:54:37,winter,Saturday,Relax,Meal_Preparation, late Morning
Meal_Preparation,,,,,,,7,114,146,4,,18,,,,1,,1,,,,,,,,,,,,,,,,,,,14,25-12-2010,25-12-2010,10:59:11,11:13:12,winter,Saturday,Meal_Preparation,Meal_Preparation, late Morning
Meal_Preparation,,,,,,,7,23,16,4,1,8,,,,,,,,,,,,,,,,,,,,,,,,,2,25-12-2010,25-12-2010,11:18:20,11:20:41,winter,Saturday,Meal_Preparation,Relax, late Morning
Relax,,,,,,,,,,,2,,77,5,,,3,,,,,6,,,,,,,,,,,,,,,43,25-12-2010,25-12-2010,11:25:56,12:09:01,winter,Saturday,Meal_Preparation,Relax, late Morning
Relax,,,,,,,,,,,4,,33,8,,,,,,,,,,,,,,,,,,,,,,,22,25-12-2010,25-12-2010,12:14:20,12:36:37,winter,Saturday,Relax,Work,Noon
Work,,,,,,,,,,,,,,,,,,,,,,,31,,2,14,1,,,,,,,,,,10,25-12-2010,25-12-2010,14:15:10,14:25:08,winter,Saturday,Relax,Work,afternoon
Work,,,,,,,,,,,,,,,,,,,,,2,,25,1,6,16,4,,,,,,,,,,20,25-12-2010,25-12-2010,14:25:35,14:45:23,winter,Saturday,Work,Leave_Home,afternoon
Leave_Home,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,0,25-12-2010,25-12-2010,14:48:17,14:48:22,winter,Saturday,Work,Enter_Home,afternoon
Enter_Home,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,25-12-2010,25-12-2010,14:48:25,14:48:26,winter,Saturday,Leave_Home,Leave_Home,afternoon
Leave_Home,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,0,25-12-2010,25-12-2010,14:52:03,14:52:07,winter,Saturday,Enter_Home,Enter_Home,afternoon
Enter_Home,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,0,25-12-2010,25-12-2010,15:43:55,15:44:01,winter,Saturday,Leave_Home,Meal_Preparation,afternoon
Meal_Preparation,,,,,,,65,58,38,8,4,28,,2,,8,,46,,,,,,2,,,,,,,,,,,,,10,25-12-2010,25-12-2010,15:56:23,16:05:58,winter,Saturday,Enter_Home,Meal_Preparation,Late afternoon
Meal_Preparation,,,,,,,23,28,20,6,,10,,,,,,20,,,,,,,,,,,,,,,,,,,4,25-12-2010,25-12-2010,16:06:40,16:10:22,winter,Saturday,Meal_Preparation,Relax,Late afternoon
Relax,,,,,,,,,,,1,,11,3,,,,2,,,,,,,,,,,,,,,,,,,3,25-12-2010,25-12-2010,16:12:09,16:15:22,winter,Saturday,Meal_Preparation,Relax,Late afternoon
Relax,,,,,,,,,,,2,,25,2,,,,4,,,,,,,,,,,,,,,,,,,17,25-12-2010,25-12-2010,16:15:55,16:33:24,winter,Saturday,Relax,Relax,Late afternoon
Relax,,,,,,,,,,,40,,95,40,,,4,,,,,4,,,,,,,,,,,,,,,55,25-12-2010,25-12-2010,16:37:46,17:33:00,winter,Saturday,Relax,Meal_Preparation,Late afternoon
Meal_Preparation,,,,,,,23,34,22,6,,20,,,,,,10,,,,,,,,,,,,,,,,,,,6,25-12-2010,25-12-2010,17:36:15,17:42:16,winter,Saturday,Relax,Relax,Late afternoon
Relax,,,,,,,,,,,1,,51,8,,,,,,,,8,,,,,,,,,,,,,,,115,25-12-2010,25-12-2010,17:46:47,19:41:23,winter,Saturday,Meal_Preparation,Relax,Evening
Relax,,,,,,,,,,,12,,117,28,,,3,,,,,2,,,,,,,,,,,,,,,115,25-12-2010,25-12-2010,20:08:59,22:03:33,winter,Saturday,Relax,Relax,Night
Relax,,,,,,,,,,,10,,33,10,,,1,,,,,,,,,,,,,,,,,,,,16,25-12-2010,25-12-2010,22:06:08,22:21:41,winter,Saturday,Relax,Relax,Late Night
Relax,,,,,,,,,,,8,,83,6,,,,,,,,2,,,,,,,,,,,,,,,40,25-12-2010,25-12-2010,22:33:16,23:13:20,winter,Saturday,Relax,Sleeping,Late Night
Sleeping,,55,12,9,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,333,25-12-2010,26-12-2010,23:20:58,04:54:03,winter,Saturday,Relax,Bed_to_Toilet,Late Night
Bed_to_Toilet,,,,2,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,26-12-2010,26-12-2010,04:54:15,05:00:57,winter,Sunday,Sleeping,Sleeping, Morning
Sleeping,,31,6,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56,26-12-2010,26-12-2010,05:01:04,05:56:47,winter,Sunday,Bed_to_Toilet,Meal_Preparation, Morning
Meal_Preparation,,,,,,,3,64,44,10,,,,,,,,1,,,,,,,,,,,,,,,,,,,8,26-12-2010,26-12-2010,06:03:14,06:11:27,winter,Sunday,Sleeping,Relax,early Morning
